Location,Year,Loss_ha,Loss_fires_ha
Porto,2001,583.5929411,101.7035735
Porto,2002,1095.420915,294.2640937
Porto,2003,314.1131834,53.38997081
Porto,2004,1226.141153,135.2753114
Porto,2005,1332.407881,506.0775338
Porto,2006,1484.993382,317.7452317
Porto,2007,1262.280538,51.39463417
Porto,2008,1299.430856,22.10534155
Porto,2009,1566.145938,290.9703979
Porto,2010,1916.709367,364.1067847
Porto,2011,784.9079986,166.2546058
Porto,2012,1967.877236,508.2987813
Porto,2013,3092.861944,1800.680037
Porto,2014,3796.815037,1429.080498
Porto,2015,1720.374241,249.2350629
Porto,2016,4727.291941,2172.216885
Porto,2017,3751.01242,1574.579732
Porto,2018,2983.774691,429.3639715
Porto,2019,1775.709986,217.5004558
Porto,2020,2338.685512,489.5020461
Porto,2021,1621.426871,158.6985257
Porto,2022,2218.694689,860.4486901
Coimbra,2001,1787.169581,218.5485233
Coimbra,2002,2631.53944,678.4543288
Coimbra,2003,708.8926719,59.13965774
Coimbra,2004,1869.515432,183.2515811
Coimbra,2005,7008.968192,4410.098672
Coimbra,2006,4516.542884,1528.665763
Coimbra,2007,3807.046193,81.57677527
Coimbra,2008,4174.441665,43.61257089
Coimbra,2009,5433.909469,111.5105158
Coimbra,2010,4905.860577,404.3361967
Coimbra,2011,3598.088,102.6968123
Coimbra,2012,7243.1247,2469.270692
Coimbra,2013,5125.569305,909.5866893
Coimbra,2014,6705.256862,531.8345983
Coimbra,2015,5037.140721,525.9116266
Coimbra,2016,7820.895323,619.3917848
Coimbra,2017,43754.94908,37452.44192
Coimbra,2018,16597.7051,8853.076245
Coimbra,2019,2970.550377,162.7183209
Coimbra,2020,4376.933005,166.2680045
Coimbra,2021,3420.116175,33.77938179
Coimbra,2022,2765.115345,79.03033852
